country,country_code,meta_style,mean_rating,count_rating,relative_count
Austria,AT,Alcohol-free,2.776904761904762,8,0.01038961038961039
Austria,AT,Ale,3.3667340172911393,132,0.17142857142857143
Austria,AT,Ambree,3.8801508771929827,10,0.012987012987012988
Austria,AT,Belgian Blonde,3.5936881757533934,9,0.011688311688311689
Austria,AT,Boozy,3.9298030303030305,11,0.014285714285714285
Austria,AT,IPA,3.6878961324977952,42,0.05454545454545454
Austria,AT,Lager,3.5331376638377767,324,0.42077922077922075
Austria,AT,Other,3.6086975958186325,79,0.1025974025974026
Austria,AT,Smoked Beer,3.932008928571429,8,0.01038961038961039
Austria,AT,Sour,3.3266795868709975,43,0.05584415584415584
Austria,AT,Stout,3.782514888682746,35,0.045454545454545456
Austria,AT,Wheat Beer,3.5707859579452523,47,0.06103896103896104
Austria,AT,Winter Beer,3.6054542888383097,22,0.02857142857142857
Belgium,BE,Alcohol-free,2.3296131564513916,22,0.004509120721459315
Belgium,BE,Ale,3.6280508306655124,2049,0.41996310719409713
Belgium,BE,Ambree,3.533333333333333,9,0.0018446402951424472
Belgium,BE,Belgian Blonde,3.678003377087534,878,0.17995490879278542
Belgium,BE,Boozy,3.8954771374783905,45,0.009223201475712236
Belgium,BE,IPA,3.757255034406512,286,0.0586185693789711
Belgium,BE,Lager,3.117622416112032,144,0.029514244722279155
Belgium,BE,Other,3.347217824738495,23,0.00471408075425292
Belgium,BE,Smoked Beer,3.7953968678380448,17,0.003484320557491289
Belgium,BE,Sour,3.8374721668267853,1076,0.22053699528591925
Belgium,BE,Stout,3.812113909445916,252,0.05164992826398852
Belgium,BE,Wheat Beer,3.80944424564084,22,0.004509120721459315
Belgium,BE,Winter Beer,3.549166022968383,56,0.011477761836441894
Bulgaria,BG,Alcohol-free,2.055,1,0.008403361344537815
Bulgaria,BG,Ale,2.936412092633341,50,0.42016806722689076
Bulgaria,BG,Belgian Blonde,2.9899999999999998,1,0.008403361344537815
Bulgaria,BG,IPA,3.378,10,0.08403361344537816
Bulgaria,BG,Lager,3.027053409090909,20,0.16806722689075632
Bulgaria,BG,Other,3.607777777777778,6,0.05042016806722689
