overall_step,meta_style
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.5,Belgian Blonde
4.0,Belgian Blonde
3.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.5,Belgian Blonde
5.0,Belgian Blonde
4.5,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.5,Belgian Blonde
4.0,Belgian Blonde
4.5,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
3.0,Belgian Blonde
4.0,Belgian Blonde
3.5,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.5,Belgian Blonde
4.5,Belgian Blonde
5.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
4.0,Belgian Blonde
