overall_step,Malty
3.5,0.25
4.0,0.25
4.0,0.25
3.0,0.25
3.5,0.25
3.0,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.5,0.25
3.0,0.25
3.5,0.25
5.0,0.25
4.0,0.25
5.0,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
3.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.5,0.25
4.0,0.25
4.0,0.25
4.5,0.25
4.0,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.5,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.5,0.25
3.5,0.25
4.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
3.5,0.25
4.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.5,0.25
4.0,0.25
4.5,0.25
4.5,0.25
3.5,0.25
4.0,0.25
3.5,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
5.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.5,0.25
4.5,0.25
4.0,0.25
4.5,0.25
4.5,0.25
3.5,0.25
4.5,0.25
3.5,0.25
4.0,0.25
3.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.5,0.25
4.5,0.25
3.5,0.25
4.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
4.0,0.25
3.5,0.25
3.5,0.25
3.5,0.25
4.0,0.25
4.0,0.25
4.0,0.25
