week,score
1,-0.3695006720240045
2,0.845432797319638
3,1.0996676994297867
4,0.9795426352968967
5,0.37224381730912803
6,0.869416772506575
7,0.7212111773616472
8,0.5157373380796861
9,0.24875460351813802
10,0.8588355352251974
11,0.8095020079208052
12,0.6331728809844048
13,0.3903622229040473
14,0.6691969202425883
15,1.336369892004949
16,1.156485771688899
17,0.4699861004215806
18,-0.15867852239983846
19,0.32252906386293634
20,-0.3865079676068378
21,-0.46794676113105366
22,0.049669626105256215
23,-0.03568805778825573
24,0.24422479577980574
25,-0.6373262025531661
26,-0.640760925660448
27,-0.1559910555539475
28,-0.5536831476488395
29,-1.3891379119214038
30,-1.196008644877195
31,-1.2540759393496879
32,-2.0027902610652344
33,-1.9659812955413067
34,-1.0377944183644174
35,-1.188668891766684
36,-1.3518030780695267
37,-1.3755495688317685
38,-1.0544700511353944
39,-1.3423270116640098
40,-1.3625123714698038
41,-0.659261508186877
42,-0.4071409284391978
43,-0.4737114686225328
44,-0.06659524822998812
45,-0.16132082143529988
46,2.832249079526398
47,0.8879266707307005
48,0.8304548529223332
49,1.4085175239145817
50,0.6391341702191641
51,0.32477582372043134
52,-0.5260048256544655
53,1.7004198811191569
